id,text
138,Kako se naziva model komunikacije u kojem su pošiljalac i primalac recipročno povezani?
139,Tokom kog svetskog događaja se desio Holokaust?
140,Koja je bila jedina teritorija koju je carstvo zadržalo na Balkanu nakon 1913. godine?
141,Iz čijeg sedišta je prvobitno radilo osoblje FA Premijer lige?
142,Na čemu se sada izvodi gimnastička disciplina na parteru?
143,U kojoj zemlji su pronađeni najraniji hemijski dokazi o pivu od ječma?
144,Nacistički plan gladi i Generalplan Ost (generalni plan za Istok) doveli su do smrti i zatvaranja koliko ljudi?
145,Zašto je tokom šezdesetih godina prošlog veka izgradnja aerodroma bila napredna?
146,Šta se dogodilo kada je vojska Marata izgubila treću bitku kod Panipata?
147,Koji sajt je kreiran da bi se ublažili problemi sa nepotpunim kopijama veb-stranica?
148,Šta je FKK odlučio da primeni na internetu?
149,Iz kog jezika potiče reč „arhitektura“?
150,Kako se obrazac saobraćaja često naziva izvan Sjedinjenih Država?
151,Koliko je Google platio za YouTube 2006. godine?
152,Koja vrsta instrumenta je bila donekle standardizovana u baroknom periodu?
153,Koji procenat učenika iz Brandenburga je 2007. godine pohađao Gesamšule?
154,Šta bi bio primer blage sramote?
155,"Za šta se, takođe, u hard roku može kristiti električna gitara?"
156,Prema kakvoj politici je Tajms izrazio rezervu kada je u pitanju bio politički stav Baraka Obame?
157,Koja kompanija je predstavila prvi uređaj za pomoć gluvim osobama da komuniciraju putem telekomunikacija?
158,U koju prvo regiju mozga putuju signali bola?
159,Koliko je FA pehara bilo?
160,Koji predsednik je dobio kontrolu nad Floridom?
161,Koje nacionalnosti je bila Brozova majka?
162,Kada su prvi put korišćeni računari za koordinaciju informacija između mnogih lokacija?
163,Šta su TRI?
164,Ko je izabran za premijera 1971. godine u Jugoslaviji?
165,U kojoj školi su radili Džon Vinsent Atansov i Kliford E. Beri?
166,Šta znači skraćenica D-VHS?
167,Koja muzička lista je 2013. godine rekla da će početi da uzima u obzir podatke sa Jutjub-a za svoje ocenjivanje?
168,Koji tip perifernog uređaja je tastatura?
169,Kada je Arsenal osvojio svoj prvi dvostruki kup?
170,Šta je glavni aktivni sastojak piva?
171,Šta je dvovisinski razboj?
172,Kako se sada zove Kraljevska politehnička ustanova?
173,Kako su Evropljani u 19. veku nazivali Osmansko carstvo?
174,Na šta je povezana analiza jezičkih formi i procesa?
175,Čiji je plan zahtevao da Arapi priznaju državu Izrael u zamenu za teritorije koje je Izrael stekao?
176,Koja je popularna igra ispijanja koja često podrazumeva pivo?
177,Ko je bio sin Murata drugog?
178,Koja rubrika počinje nakon prve polovine novinaTajms?
179,Kada su afričke države postale nezavisne?
180,Neki od pozitivnih aspekata Jutjuba mogu biti što pruža šta do mere koja nikada ranije nije postignuta?
181,Ko bi improvizovao muzičke ukrase u baroknom periodu?
182,Koji je softver koji vrši kompresiju audio i/ili video-zapisa?
183,Šta znači pri-?
184,Kada je potpisan Anglo-ruski sporazum?
185,Šta za autora knjige „Suština hrišćanstva“ predstavlja religija?
186,Kada je osnovana Američko antropološko društvo?
187,Kakva vrsta pokreta je bila moderna arhitektura u početku?
188,Kada je uvedeno pravilo „jedna kap”?
189,Iz koje grupe koja predstavlja 200 000 Muslimana su pobegli u Dobrudžu?
190,"Šta često, u svojoj težnji za više novca i vlasti, ignorišu korumpirani diktatori?"
191,Ko je napisao operu na sanskritu?
192,Koja je zemlja sprovela prisilne abortuse?
193,Po kom osnovu su dopušteni prelazi van prelaznih rokova?
194,Koje je državljanstvo imao Gregorio Maranjon?
195,Koji je osnov prikupljenih dokaza koji stavljaju kriminalce iza rešetaka?
196,Kakva je klima na Floridi?
197,Šta obuhvataju vazdušne zone?
198,Kada je UK izjavilo da je protiv politika autorskih prava na Jutjubu?
199,Koji časopis je objavio izjavu Kancelarije za izveštaj o ljudskom razvoju u januaru 2011. godine?
200,Ko je imenovan za glavnog urednika Tajmsa 1817. godine?
201,Odakle zigoti dobijaju svoje genetske informacije?
202,Koji deo Arsenalovog grba se ponekad pogrešno smatrao dimnjacima?
203,Zašto pritke više nisu od drveta?
204,"Kada se otvori tehnički univerzitet u Konji, koliko će ukupno biti instituta za tehnologiju u Turskoj i Osmanskom carstvu?"
205,Kampidanski sardinski jezik je varijanta kog jezika?
206,Čemu korupcija doprinosi kada je u pitanju životna sredina?
207,Koje vrste ekonomija su se razvijale u zapadnoj Evropi?
208,Koji utisak je Jutjubova politika nadgledanja video snimaka ostavila na Ujedinjeno Kraljevstvo?
209,Šta su granice države Floride?
210,U kojoj zemlji se proizvodi pivo Ošikundu?
211,Na  granicu kog carstva je Osman prvi nametao turska naselja?
212,Šta su germanski narodi stvorili umesto Zapadnog rimskog carstva?
213,Koliko alkohola je bilo u pivu „Kraj istorije”?
214,Koliko kupaca je snabdevala mreža za napajanje električnom energijom Tomasa Edisona?
215,Ko je zajedno sa Kropansanom razvio teoriju emocionalnog iskustva zasnovanu na komunikaciji?
216,Koji uređaj je najčešće korišćen tokom informacionog doba?
217,Zbog čega je Arsenalova utakmica 22. januara 1927. godine bila prva na Hajberiju?
218,Koji je procenat piva u limenkama prodat u Švedskoj 2001. godine?
219,Po kojim entitetima se tradicionalno nazivaju nemački dijalekti?
220,Šta mnogi karakterišu kao novu perspektivu koja je više informisana?
221,Na čijim granicama su se Sloveni pojavili oko 6.veka?
222,Za šta je bila optužena Norijegova vlada?
223,Šta se veruje da je izazvalo otvaranje novih pomorskih puteva tokom Osmanskog carstva?
224,Ko upravlja svim gimnastičkim takmičenjima?
225,Koji trener je krajem devedesetih godina prošlog veka doneo uspeh Arsenalu?
226,Čije  fuge postižu izuzetno spajanje smelo različitih melodičnih linija?
227,Šta je abisinska kriza?
228,Šta su arhitekte često zanemarivale u svom traženju estetike?
229,Šta je bio prototip za Feranti Mark 1?
230,Koji je komercijalno uspešan podžanr iznikao iz pokreta grandž?
231,Tokom kojih godina se desio osmanski rat protiv Habsburške Austrije?
232,Kako se zove Nacionalni park na Floridi?
233,Na šta politička ekonomija u antropologiji primenjuje istorijski materijalizam?
234,Kakve vrste eksperimenata su zahtevale preko četiri puta veći propusni opseg od SDTV emitovanja?
235,Za šta se smatralo da su kontinenti u kambrijskom području nekada bili deo?
236,Od koje grupe se radnička deca u sveobuhvatnim školama razlikuju u postignućima?
237,U ubijanju koga su sarađivali režimi Južnog konusa?
238,Koliko su domaća televizijska prava porasla od sezone 2010./2012. godine do sezone 2012./2013. godine?
239,Koja zemlja je nagradila Tita Zvezdom?
240,Koji je drugi panevropski stil?
241,Za šta se Margaret Mid zalagala?
242,Ko je ustanovio teoriju da će tipovi medija koje ljudi koriste za komunikaciju ponuditi različite mogućnosti za oblikovanje društva?
243,Po kom računaru je modelirana harvardska arhitektura?
244,Koliko je izdanja štampano pre nego što su novine promenile ime u Tajms?
245,"Šta postoji na izuzetno velikom aerodromu, ali se obično ne koristi?"
246,"Kada se pojavio termin ""klasična muzika""?"
247,Koliko godišnje ima sunčanih sati na Floridi?
248,Koji klub navijača je u daljoj vezi sa Arsenalom?
249,Kako se zvala rana verzija trombona?
250,Od čega su napravljeni zubi?
251,Koje oblasti moraju da se suoče u antropologiji?
252,Koje su to oblasti učenja u sveobuhvatnim školama koje se često ne nalaze u gimnazijama?
253,Koji kineski lider je 1979. godine putovao u Jugoslaviju?
254,Koliko veleprodajnih kompanija su imali Grci u Istanbulu u 1911. godini?
255,Kako se zove škola za imunologiju na planini Sinaj?
256,Koje su ostale slovenske manjine u Kazahstanu?
257,U kom vremenskom periodu je preovladalo pismo devangari?
258,Kojoj partiji pripada Sigrid Bir?
259,Na čemu su bili zasnovani standardi Srbije i Hrvatske?
260,Ko je bila prva žena koja je primljena u Bečku filharmoniju?
261,Koliko su BiTi Grupa i Skaj platili za svoja prava do sezone 2018./2019. godine?
262,Moderan klavir je generalno kakav ?
263,Humoralna imunologija uključuje interakciju koja dva elementa?
264,Šta je Vajc naglasio da moraju biti podaci za poređenje?
265,Šta je postalo prepoznatljiv znak klasične muzike?
266,Na koji način bi multitasking naizgled prouzrokovao  da računar radi?
267,Koja je bila prva knjiga objavljena na srpskohrvatskom?
268,Šta je preduzeto nakon smrti Amande Tod?
269,Koji Kinezi nisu ispunjavali uslove za socijalnu pomoć?
270,U kom periodu su se tradicionalno svirali duvački instrumenti od strane članovi profesionalne gilde?
271,Koja država je dala pomoć Jugoslaviji kada se Tito otuđio od Sovjetskog Saveza?
272,"Koja vrsta bola je tupa, bolna i teško lokalizovana?"
273,Koje projekte sponzorišu politehnike Kanade koji mogu dovesti do komercijalizacije tehnologije?
274,Koji tip antropologije pokušava da razume društvene aspekte masovnih medija?
275,Kada je koncept „obrazovanje kroz rekreaciju” promenjen i proširen?
276,Ko je u Osmanskom carstvu naručivao oslikane rukopise?
277,Kakva je to organizacija Prijatelji UNFPA?
278,Koja je uobičajena definicija dijalekta?
279,Kako bi nazvali mešavinu sastojaka koja se koristila za pravljenje piva pre 16. veka?
280,"Kako se zove pobednik emisije ""Veliko britansko pečenje"" na BBC-ju koji je takođe pisac kolumni u časopisu Tajms?"
281,Koja knjiga sadrži najranije pominjanje klasičnoj muzike?
282,Gde je temperatura morske površine najviša?
283,Koje su dve vrste varenje?
284,Koji naziv se odnosi na period nestabilnosti tokom raskola između Tita i SSSR-a?
285,Na koji signal je kasnije promenjen Evro1080?
286,"Pored Durkhajmovog, čiji je rad uticao na razvoj ritualne teorije interakcije?"
287,Koliko godina je imala Pelagija Belousova kada ju je Tito upoznao?
288,Koje analize su sprovedene na ljudskim vašima?
289,Koja dva jezika imaju mogućnost značajne međusobne razumljivosti?
290,Koji sistem je prvi put demonstriran u Sjedinjenim Državama 1981. godine?
291,Principi fonološke analize se mogu primeniti nezavisno od čega?
292,Na koje dve oblasti se dele aerodromi?
293,Kako je bio poznato versko pravo?
294,Ko je kreirao komparativni rad u državi Bali?
295,Šta Bah nije koristio?
296,Čije utiske o Titovom ruskom poreklu takođe beleži kriptološki spektar?
297,Koji je napitak sličan pivu u Kini koji se pravi od pirinča?
298,Koji se veliki događaj odigrao u Londonu 2012. godine?
299,Koji arhitekta je dizajnirao prvobitni stadion u Hajberiju?
300,Ko je razvio koncept emocionalnog rada?
301,Koja vrsta klijenata bi obično imala zahtevnije zahteve?
302,"Koji je istaknuti filozof, zajedno sa Dekartom, Makijavelijem i Hjumom, razvio teoriju o emocijama?"
303,Na kom jeziku su napisani najstariji dokumenti iz 9.veka koji opisuju Slovene?
304,"Godine 1963. poznati dvostruki agent koji je pružao vredne i visokokvalitetne izveštaje za Tajms tokom rata krajem 1930-ih, na kraju je prebegao u koju zemlju?"
305,Kako Fajerfoks formatira veb-fidove?
306,Kako su pošiljalac i primaoc povezani u nešto složenijem obliku komunikacionog modela?
307,Od kog izvora je led pomogao u stvaranju zemljinih okeana?
308,Koja zemlja brzo menja većinu ljudi koji rade na vladinim pozicijama kada nova vlada dođe na vlast?
309,Koji je bio efekat uticaja Laurazije na Gondvanu u Severnoj Americi?
310,Ko bira nacionalne parkove?
311,"Da bi mogao da radi na terenu, gde antroplog prvo treba da otputuje?"
312,Kada je Tito prvi put posetio Indiju?
313,Kako se zvao dokument koji je standardizovao srpskohrvatski jezik?
314,Koji izraz je zamenio Vitruvijev izraz „korisnost“?
315,Kada je Arsenalova utakmica prva televizijski prenošena uživo?
316,Šire značenje klasične muzike seže unazad od danas do kog perioda?
317,Koliko klubova je u Fudbalskoj ligi?
318,Koji sastojak daje pivu ukus?
319,Koje godine je Fudbalsko udruženje uredilo pravila igre?
320,Koji tim je pobedio Arsenal na Vembliju 2015. godine?
321,U kom području su bila masovna pogubljenja dunavskog švabskog stanovništva?
322,Kada je izašao album „U vašu čast” Fu fajtersa?
323,Gde se nalazi sedište YouTube-a?
324,Koja druga vrsta diplome se može steći na Univerzitetu primenjenih nauka pored diplome osnovnih studija?
325,Kada se panslavizam razvio kao pokret?
326,Kojih 5 predmeta se koristi u programima ritmičke gimnastike?
327,U kojoj godini je Rusija proglašena carstvom?
328,Kada je došlo do novog razvoja društva bez država?
329,Za šta su se koristile žene robinje?
330,Kada je antropologija razvila srodne termine?
331,Za koju visinu se nivo mora podigao na kraju poslednjeg glacijalnog perioda?
332,Da li evropske lige prodaju svoja televizijska prava na kolektivnom nivou?
333,Ko koordiniše studijski program „Samskritam kao strani jezik”?
334,Koliki je bio prosečan dnevni tiraž lista Tajms u martu 2014.godine?
335,Kolika je učestalost haplogrupe R1a u Rusiji?
336,Koliko prihoda ostvaruje Premijer liga godišnje od televizijskih prava širom sveta?
337,Šta korupcija nepoštuje u politici?
338,Šta je izazvalo revoluciju protiv dinastije Ćing?
339,Kako su evropske revolucije poznate u drugim zemljama?
340,Da li IHDI meri „prosečan” ili „potencijalan” nivo ljudskog razvoja?
341,Lista veb-sajtova na koje korisnik može da klikne kako bi im se lako vratio je šta od strane korisnika?
342,Šta je postalo dovoljno jeftino da bi srednja klasa mogla da kupi?
343,Zašto su evropske sile polagale pravo na područja Afrike?
344,Ko je izumeo prvi pregledač?
345,Immunologija je proučavanje koje vrste odgovora na antitela i antigene?
346,Kojim metodom kvantni računari brzo rešavaju algoritme za šifrovanje?
347,U kojoj zemlji postoji veliki broj imena reka i drugih imena mesta slovenskog porekla?
348,Šta u ljudskim zubima omogućava propriocepciju?
349,Kada je izumljena štamparska mašina sa pokretnim slovima?
350,"Koju vrstu pokrića ne nudi drugi talas, za razliku od prvog talasa?"
351,"Iz koje zemlje je bend ""Džet""?"
352,Na koju distinkciju se misli kada se kaže sopstvo?
353,Kako je takođe poznat 17. vek?
354,Šta ima sezonske i regionalne aspekte?
355,Koliko je prvobitno igrača Premijer lige u sezoni 1992./1993. godine pozvano izvan Ujedinjenog Kraljevstva ili Irske?
356,U kojoj drugoj komponenti računara se može naći mikrosekvencer?
357,Od koje dve reči potiče termin antigen?
358,Koje varenje počinje u ustima?
359,Kojim planom je takođe upravljala Administracija za ekonomsku saradnju?
360,Kog datuma je objavljen Izveštaj o ljudskom razvoju za 2014. godinu?
361,"Za koju vrstu odeće se veruje da izgleda čisto, sveže i uredno?"
362,Prilikom peruanske zloupotrebe UNFPA je odgovorila pozivanjem na šta?
363,Odakle su poreklom mnogi slovenski narodi koji su bili deo Varšavskog pakta?
364,Kroz koji vremenski period je trajala dinastija Ćing?
365,Koje je godine izdata prva knjiga na srpskohrvatskom jeziku?
366,Kako se zove lider političke stranke koju je Tajms podržao na opštim izborima 2001. godine?
367,U kojoj deceniji je Finska počela da primenjuje sveobuhvatne škole?
368,Koji rat se odigrao od 1877. godine do 1878. godine?
369,Do čega obično dovodi čin predacije za plen ?
370,Kakav muzički stil su koristili Edvard Grig i Antonin Dvoražak u svojim kompozicijama?
371,"Ceo istorijski arhiv digitalizovanog časopisa ""Tajms"" je dostupan na internetu i koji izdavač ga je objavio?"
372,Zašto se donjonemačke vrste smatraju dijalektima standardnog nemačkog?
373,Kako se od izvođača očekuje da izvedu delo zbog pisanog prenosa?
374,Koliko klubova „Velike četvorke” je završilo van prva četiri mesta u ligi u sezoni 2011./2012. godine?
375,Koja indijska država ima sanskrit kao zvanični jezik?
376,Gde se dešava varenje proteina?
377,"Koji model opisuje suprotnost pristupa kao nepokretno, ali sa otporom i snagom?"
378,Koje Vivaldijevo delo se koristi kao kliše za prikazivanje raskoši?
379,Šta je izazvalo prelaz između srednjeg veka i ranog modernog vremena?
380,"Osoba, aspekti sopstva i lične karakteristike prikazane drugima su komponente čega?"
381,"Koji je pokret, došavši do izražaja sredinom19. veka, naglašavao zajedničko nasleđe i jedinstvo svih slovenskih naroda?"
382,Kako nazivamo dijalekat koji je specifičan za određenu etničku pripadnost?
383,Koji tip antropologije proučava odnose između osoba i grupa?
384,U kom veku je počelo povećanje invazija vrsta?
385,Kako etnoistorija koristi i istorijske i etnografske podatke?
386,Koja tip odeće je često proizvod radionica?
387,Kako se zvala mašina koju su koristili gospodin Pibodi i Šerman?
388,Koliko selektivnih gimnazija još uvek funkcioniše u Engleskoj i Velsu?
389,Koja aktivnost je donela napredak Arsenalu?
390,Koji je pregledač najnoviji na tržištu?
391,U kojoj bici 1526. godine je Sulejman Veličanstveni imao važnu pobedu?
392,Navedite tri vrste imunoloških poremećaja
393,Kako se nazivaju samostalni komadi u dužim delima?
394,Koje su aktivnosti zabranjene u nacionalnim parkovima?
395,Za šta je skraćenica CPJ-a?
396,Ko je bio Otoaman Veliki Vizir 1726. godine?
397,Koji je dijalekat Skaus jezika?
398,Koja vrsta antropologije ima kao centralnu temu proučavanje društvene organizacije?
399,"Na koje emitovanje se ne primenjuju PAL, SECAM, i NTSC brzina kadrova?"
400,U kojoj koncentraciji kvasac ne može više da opstane u alkoholu?
401,Čega su politički oblici suzbijanje političkih protivnika i policijska brutalnost?
402,Ko je bio glavni pevač grupe Stoun Templ Pajlotsa?
403,Šta izgleda pokazuje oslobađanje vezikula?
404,Čime visceralni bol može biti praćen?
405,Ko obično poseduje i upravlja nacionalnim parkovima?
406,Kada su se među Slovenima pojavili prvi počeci državnih organizacija?
407,Koji sanskritski lingvista opisuje sanskrit kao „posebno rafiniran ili usavršen način govora”?
408,Kako se zvala jahta koju je jugoslovenski predsednik imao na raspolaganju?
409,Šta je primer ličnog sistemskog alata za video-konferencije?
410,Ko je uklapan u porodice arapskih vlasnika?
411,Improvizacija je sastavni deo onoga što je imalo veliki značaj?
412,Koje 3 vrste filozofije pokušavaju da ispravi problem sa materijom i energijom bez uklanjanja svakog verovanja o materijalizmu?
413,Kako se premijer liga naziva izvan Ujedinjenog Kraljevstva?
414,Koja reč na latinskom znači piti?
415,Kako su kolektivno poznati delovi računara koji su materijalni objekti?
416,Na koliko često je bila zaokruživana razlomljena brzina SD?
417,Čega je bio osnivač Timur?
418,Imenujte jednu od grupa koja je podržala Prusku u Francusko-pruskom ratu.
419,Šta obezbeđuje baziranje i podršku vojnim avionama?
420,Koju vrstu imena imaju „crnci”?
421,Kako se zove tamno pivo koje se pravi od pečenog slada ili ječma?
422,Za šta je optužen da je bio dogovor između Premijer lige i Skaj-a?
423,"Uopšteno, koliki je obično sadržaj alkohola u većini piva?"
424,Koju licencu je potrebno da zadrže treneri u Premijer ligi?
425,Koje su dve vrste granica grupe?
426,Koja su prva tri albuma grupe Raš?
427,Proces odvajanja od karakteristika bližnjih je proces čega?
428,Koji savremeni instrument je postala barokna violina?
429,Koji je još jedan termin za jezičke vrste?
430,U kojim zonama su starosedeoci koristili krzno za toplotu i zaštitu?
431,Da li branioci titule mogu da igraju u Ligi šampiona sledeće godine ako nemaju dovoljno pobeda da se kvalifikuju?
432,Koji nivo raspršivanja identiteta se interpretira kao norma?
433,Čega je talamus deo?
434,Kada je Mozaik objavljen?
435,Koji je razlog dramatičnog pada poseta veb-sajtu Tajmsa?
436,Na šta pozivaju Melzak i Kejsi u svom dokumentu?
437,Ko je 1876. godine stvorio ideju diferencijalnog analizatora?
438,Koji su drugi nazivi za kontrolnu jedinicu računara?
439,Šta se razvilo iz mirisnih putanja sisara?
440,Kakav je uticaj na prihode imalo naplaćivanje poreza u fiksnom iznosu?
441,Po čemu je „Jevanđelje iz Remsa” nazvano?
442,Koji je bio URL u vlasništvu Suzane Šel?
443,Zašto su žene robovi bile popularnije?
