id,title,text
11,Institut _za_ tehnologiju,"U Indoneziji postoje četiri javna instituta za tehnologiju koji su u vlasništvu vlade Indonezije. Osim toga, postoje stotine drugih instituta koji su u vlasništvu privatnih ili drugih institucija."
12,Sloveni,"Najranija pominjanja o slovenskim pohodima preko donjeg toka reke Dunav datiraju iz prve polovine 6. veka, ali nijedan arheološki dokaz o slovenskom naseljavanju na Balkan nije mogao sigurno da datira pre oko 600 godina nove ere."
13,Dijalekt,"Ovo može dovesti do situacije u kojoj su dva dijalekta (definisani ovom paradigmom) sa udaljenim genetskim odnosom međusobno lakše razumljiva od srodnih dijalekata. Po jednom mišljenju, ovaj obrazac je jasno prisutan među savremenim romanskim jezicima, sa visokim stepenom međusobnog shvatanja između španskog i italijanskog jezika, što ne dele sa francuskim, uprkos tome što neki tvrde da su oba jezika genetiski bliže francuskom nego jednom drugom. U stvari, francuskoitalijanska i francuskošpanska relativna međusobna nerazumljivost je posledica toga što je francuski pretrpeo brže i prodornije fonološke promene od španskog i italijanskog. Zapravo, italijanski i francuski jezik imaju mnogo više zajedničkih, korenskih reči koje se u španskom ni ne pojavljuju."
14,Videokonferencija,"Dok se tehnologija video-konferencije prvobitno koristila pre svega unutar korporativnih komunikacionih mreža, jedna od prvih upotreba ove tehnologije u društvenim uslugama počela je 1992. godine kroz jedinstveno partnerstvo sa Pikčtelefon-m i IBM korporacijama, koje su u to vreme promovisale zajednički razvijen proizvod za video-konferencije zasnovan na desktop računarima poznat kao PCS/1. Tokom narednih 15 godina, projekat DIANE (mreža raznovrsnih informacija i pomoći) je rastao i korisno upotrebio razne platforme za video-konferencije kako bi stvorio više-državnu kooperativnu mrežu javnih usluga i obrazovanja na daljinu koja se sastoji od nekoliko stotina škola, susedskih centara, biblioteka, naučnih muzeja, zooloških vrtova i parkova, centara za javnu pomoć i drugih organizacija orjentisanih na zajednicu."
15,Srpskohrvatski,"Južnoslovenski dijalekti su istorijski činili kontinuum. Burna istorija ovog područja, posebno zbog ekspanzije Otomanskog carstva, rezultirala je šarenilom dijalekatskih i verskih razlika. Zbog migracija stanovništva, štokavština je postala najrasprostranjenija na zapadnom Balkanu, prodirući prema zapadu u prostor koji su ranije zauzimali čakavski i kajkavski (koji se dalje stapaju sa slovenačkim na severozapadu). Bošnjaci, Hrvati i Srbi se razlikuju po veri i istorijski su često bili deo različitih kulturnih krugova, iako je veliki deo naroda živeo jedan pored drugog pod stranim gospodarima. Tokom tog perioda, jezik se pominjao pod raznim nazivima, kao što su „slovenski”, „ilirski”, ili prema regionu, „bosanski”, „srpski” i „hrvatski”, pri čemu je ovaj drugi često u kombinaciji sa „slavonskim” ili „dalmatinskim”."
16,Premijer_Liga,"Bilo je sve većeg jaza između Premijer lige i Fudbalske lige. Od njenog razdvajanja sa Fudbalskom ligom, mnogi priznati klubovi u Premijer ligi su uspeli da se distanciraju od svojih kolega u nižim ligama. Zahvaljujući u velikoj meri neusklađenosti u prihodima od televizijskih prava između liga, mnogim nedavno unapređenim timovima je bilo teško da izbegnu ispadanje u svojoj prvoj sezoni u Premijer ligi. U svakoj sezoni, osim u sezonama 2001./2002. godine i 2011./2012. godine, najmanje jedan novajlija iz Premijer lige je ispao iz lige nazad u Fudbalsku ligu. U sezoni 1997./1998. godine, svi tri unapređena kluba su ispala iz lige na kraju sezone."
17,Sloveni,"Od 1878. godine na svetu su postojale samo tri slobodne slovenske države: Rusko carstvo, Srbija i Crna Gora. Bugarska je takođe bila slobodna, ali je bila de jure vasal Osmanskog carstva sve dok nije zvanično proglašena nezavisnost 1908. godine. U celom Austro-Ugarskom carstvu od oko 50 miliona ljudi, oko 23 miliona su bili Sloveni. Slavenski narodi, koji su, u većini slučajeva, bili lišeni glasa u poslovima Austro-ugarskog carstva, pozivali su na nacionalno samoopredeljenje. Tokom Prvog svetskog rata, predstavnici Čeha, Slovaka, Poljaka, Srba, Hrvata i Slovenaca su u savezničkim zemljama uspostavili organizacije kako bi stekli simpatije i priznanja.Godine 1918, nakon završetka Prvog svetskog rata, Sloveni su uspostavili nezavisne države kao što su Čehoslovačka, Druga poljska republika i Država Slovenaca, Hrvata i Srba."
18,Politička_korupcija,"Izborna prevara je nezakonito mešanje u proces izbora. Dela prevare utiču na brojanje glasova kako bi se postigao izborni rezultat, bilo povećanjem udela u glasovima privilegovanog kandidata, smanjenjem udela u glasovima rivalskih kandidata ili oboje. Takođe nazvana prevara glasača, su mehanizmi koji utiču i uključuju nezakonitu registraciju birača, zastrašivanje na biračkim mestima i nepravilno brojanje glasova."
19,Jutjub,"S druge strane, Jutjub je takođe omogućio vladi da se lakše učestvuje u razgovoru sa građanima, zvanični Jutjub kanal Bele kuće postao je sedmi vrhunski proizvođač novinskih organizacija na Jutjub-u 2012. godine, a 2013. godine berza zdravstvene zaštite naručila je parodiju na muzički spot Obaminog imitatora Imana Krosonova na Jutjub-u kako bi podstakla mlade Amerikance da se upišu u zdravstveno osiguranje u skladu sa Zakonom o pristupačnoj zaštiti (Obameker). U februaru 2014. godine,  predsednik Sjedinjenih Država Obama održao je sastanak u Beloj kući sa vodećim stvaraocima sadržaja na Jutjub-u kako bi ne samo promovisao svest o Obameker-u, već i generalno razvio načine za bolje povezivanje vlade sa „Jutjub generacijom”. S obzirom na Jutjub-ovu neodoljivu mogućnost da dopusti predsednicima da se direktno povežu sa prosečnim građanima, nova medijska pamet stvaralaca sadržaja na Jutjub-u smatrana je neophodnom za bolje suočavanje sa ometajućim sadržajem i promenljivom publikom veb sajta."
20,Moderna_istorija,"Inženjerska dostignuća revolucije kretala su se od elektrifikacije do razvoja nauke o materijalima. Napredak je dao veliki doprinos kvalitetu života. U prvoj revoluciji, Luis Pol je bio izvorni pronalazač predenja na valjcima, osnove vodenog okvira za predenje pamuka u mlinu za pamuk. Unapređenja parne mašine Metjua Boltona i Džejmsa Vata bila su osnovna za promene koje je donela industrijska revolucija  kako u Kraljevini Velikoj Britaniji tako i u svetu."
21,Moderna_istorija,"Evropa je provela ove godine u obnovi i suočavanju sa ogromnom ljudskom cenom sukoba. Ekonomija Sjedinjenih Država se sve više preplitala sa evropskom. U Nemačkoj, Vajmarska republika je ustupila mesto prilikama političkih i ekonomskih previranja, koje su kulminirale nemačkom hiperinflacijom 1923. godine i neuspešnim pučem u pivnici iste godine. Kada Nemačka više nije mogla da priušti ratne isplate, Vol strit je uložio velika sredstva u evropske dugove kako bi održao evropsku ekonomiju na površini kao veliko potrošačko tržište za američku masovno proizvedenu robu. Do sredine decenije, ekonomski razvoj je porastao u Evropi, a burne dvadesete su izbile u Nemačkoj, Britaniji i Francuskoj, a druga polovina decenije postala je poznata kao „zlatne dvadesete”. U Francuskoj i frankofonoj Kanadi, one su se takođe zvale „lude godine”."
22,Klasična_muzika,"Njegovo pisano prenošenje, zajedno sa poštovanjem koje se pridaje određenim klasičnim delima, dovelo je do očekivanja da će izvođači izvoditi delo na način koji detaljno ostvaruje originalne namere kompozitora. Tokom 19. veka detalji koje su kompozitori unosili u svoje partiture generalno su se povećali. Ipak, može se videti suprotan trend - divljenje izvođača zbog novih ""interpretacija"" kompozitorovog dela, i nije nepoznato da kompozitor pohvali izvođača što je postigao bolju realizaciju prvobitne namere nego što je kompozitor mogao da zamisli. Tako, klasični izvođači često postižu visoku reputaciju za svoje muzičko umeće, čak i ako sami ne komponuju. Međutim, generalno gledano, kompozitori su ti koji se pamte više od izvođača."
23,Fond_Ujedinjenih_nacija_za_populacionu_aktivnost,"Vezu UNFPA sa kineskom administracijom prisiljenih abortusa osporile su istrage koje su sprovodile razne američke, britanske i UN ekipe poslate da ispitaju aktivnosti UNFPA u Kini. Konkretno, tri osobe iz tima američkog Stejt departmenta  poslate su na dvonedeljnu turneju kroz Kinu. U izveštaju Stejt departmenta pisalo je da nije pronađen ,,nikav dokaz da je UNFPA podržala ili učestvovala u upravljanju programa prisilnog abortusa ili nevoljne sterilizacije u Kini"", kako je kritika nametnula."
24,Tajms,"Kim Filbi, sovjetski dvostruki agent, bio je dopisnik novina u Španiji tokom Španskog građanskog rata krajem 1930-ih. Filbi je bio cenjen zbog svoje hrabrosti i  visokokvalitetnih izveštaja sa prvih linija tog krvavog sukoba. Kasnije se pridružio MI6 tokom Drugog svetskog rata, unapređen je na visoke položaje nakon završetka rata, a zatim je na kraju prebegao u Sovjetski Savez 1963. godine."
25,Južna_Evropa,"Engleski se koristi kao drugi jezik u delovima južne Evrope. Međutim kao prvi jezik, engleski je veoma malo prisutan u južnoj Evropi, samo na Gibraltaru (zajedno sa španskim) i na Malti (sekundarno u odnosu na malteški)."
26,Srpskohrvatski,"S druge strane, mišljenje Jagića iz 1864. godine nema čvrstih osnova. Kada Jagić kaže „hrvatski”, on u nekoliko slučajeva govori o dubrovačkom narodnom jeziku kao ilirskom. Ovo je bio zajednički naziv za sve slovenske narodne govore u dalmatinskim gradovima među rimskim stanovništvom. U međuvremenu se nalaze i drugi pisani spomenici u kojima se pominje srpski, lingua serviana (=srpski) i neki koji pominju hrvatski. Daleko najkompetentniji srpski naučnik o dubrovačkom jezičkom pitanju Milan Rešetar, koji je i sam rođen u Dubrovniku, napisao je u ime jezičkih karakteristika: „Onaj ko misli da su hrvatski i srpski dva odvojena jezika, mora priznati da je Dubrovnik oduvek (jezički) bio srpski”."
27,Josip_Broz_Tito,"Za Titom su se prenosile brojne afere i ženio se nekoliko puta. Godine 1918. bio je doveden u Omsk, u Rusiji, kao ratni zarobljenik. Tamo je upoznao Pelagiju Belousovu koja je tada imala trinaest godina; godinu dana kasnije se oženio sa njom, a ona se preselila sa njim u Jugoslaviju. Pelagija mu je rodila petoro dece, ali je preživeo samo njihov sin Žarko Leon (rođen 4. februara 1924. godine). Kada je Tito zatvoren 1928. godine, vratila se u Rusiju. Nakon razvoda 1936. godine kasnije se ponovo udala."
28,Tajms,"U vreme kada je Harold  Evans imenovan za urednika 1981. godine, Tajms je imao prosečnu dnevnu prodaju od 282.000 primeraka u poređenju sa 1,4 miliona dnevnih prodaja svog tradicionalnog rivala Dejli Telegrafa. Do novembra 2005. godine, Tajms je prodavao u proseku 691.283 primeraka dnevno, što je drugi najveći tiraž od svih britanskih ""kvalitetnih"" novina (posle Dejli Telegrafa, koji je imao tiraž od 903.405 primeraka u tom periodu), i najvećim u smislu prodaje u punom tiražu. Do marta 2014. godine, prosečni dnevni tiraž Tajmsa je pao na 394.448 primeraka, u poređenju sa 523.048 primeraka Dejli Telegrafa, pri čemu su ova dva lista zadržala  drugi najveći i najveći tiraž među britanskim ""kvalitetnim"" novinama. S druge strane, The Sun, najprodavanije ""tabloidne"" dnevne novine  u Ujedinjenom Kraljevstvu, prodale su u proseku 2.069.809 primeraka u martu 2014. godine, a Dejli Mejl, najprodavanije britanske dnevne novine ""srednjeg tiraža"", prodale su u proseku 1.708.006 primeraka u tom periodu."
29,Politička_korupcija,Neki oblici korupcije sada nazvani „institucionalna korupcija” razlikuju se od podmićivanja i drugih vrsta očigledne lične koristi. Sličan problem korupcije se javlja u bilo kojoj instituciji koja zavisi od finansijske podrške ljudi čiji interesi mogu biti u suprotnosti sa primarnom svrhom institucije.
30,Ljudi_crne_rase,"U julu 2012. godine, Ensestri.kom je izveštavao o istorijskom i DNK istraživanju koje su sproveli njegovi zaposleni, a koje je otkrilo da je Obama verovatno potomk Džona Panča preko svoje majke, za koga neki istoričari smatraju da je bio prvi afrički rob u koloniji Virdžinija. Kao ugovorni sluga, bio je „osuđen na doživotno ropstvo” 1640. godine nakon pokušaja bekstva. Priča o njemu i njegovim potomcima je ona o multirasnoj Americi, jer se činilo da su se on i njegovi sinovi venčavali ili imali zajednice sa belim ženama, verovatno ugovornim slugama i pripadnicama radničke klase poput njih. Njihova multirasna deca su bila slobodna jer su rođena od slobodnih engleskih žena. Tokom vremena, Obamina linija porodice Banč (kako su postali poznati) bili su vlasnici imovine i nastavili su da se „žene belkinjama”; postali su deo belog društva, verovatno od početka do sredine 18. veka."
31,Obrazovanje,"Godine 2012., upotreba moderne elektronske tehnologije za obrazovanje (takođe nazvane e-učenje) porasla je 14 puta brže od tradicionalnog učenja. Otvoreno obrazovanje brzo raste i postaje dominantan oblik obrazovanja, iz više razloga, kao što su njegova efikasnost i rezultati u poređenju sa tradicionalnim metodama. Cena obrazovanja je bila problem kroz istoriju, i glavno političko pitanje u većini zemalja danas. Onlajn kursevi često mogu biti skuplji od nastave licem u lice. Od 182 koledža ispitana 2009. godine, skoro polovina je izjavila da je školarina za online kurseve viša nego za kurseve bazirane u kampusu. Mnoge velike univerzitetske institucije sada počinju da nude besplatne ili skoro besplatne pune kurseve, kao što su Harvard, MIT i Berkli, koji se udružuju da bi formirali edX-platformu za elektronsko učenje. Ostali univerziteti koji nude otvoreno obrazovanje su Stanford, Prinston, Djuk, Džons Hopkins, Edinburg, Unuverzitet Pensilvanje, Univerzitet u Mičigenu, Univerzitet Virdžinija, Univerzitet u Vašingtonu i Kalifornijski tehnološki institut. To se naziva najvećom promenom u načinu na koji učimo još od pisaćih mašina. Uprkos povoljno efikasnim studijama, mnogi ljudi možda i dalje žele da izaberu tradicionalno obrazovanje u kampusu iz društvenih i kulturnih razloga."
32,Bezbednost_računara,"Računači kontrolišu funkcije u mnogim javnim službama, uključujući koordinaciju telekomunikacija, elektoenergetske mreže, nuklearnih elektrana i otvaranja i zatvaranja ventila u vodovodnim i gasnim mrežama. Internet je potencijalni vektor napada za takve mašine ako su povezane, ali Staknet crv je pokazao da čak i oprema koju kontrolišu računari koji nisu povezani na internet može biti ranjiva na fizička oštećenja uzrokovana zlonamernim komandama koje se šalju industrijskoj opremi (u tom slučaju centrifugama za obogaćivanje uranijuma) koja se zarazi preko prenosivih medija. Godine 2014., Tim za reagovanje na računarske hitne slučajeve, odjeljenje Ministarstva za unutrašnju bezbednost, istražio je 79 hakerskih incidenata u energetskim kompanijama."
33,Institut _za_ tehnologiju,"Od sredine devedesetih godina prošlog veka, termin se primenjuje na neke tehnički orijentisane institute tehničkog i daljeg obrazovanja (TAFE). Nedavni primer je rebrendiranje i repozicioniranje Melburnske politehnike 2014. godine od Severnog Melburnskog instituta TAFE. Ova škola uglavnom nudi stručno obrazovanje, iako se neki, kao što je Melburn politehnika, proširuje na visoko obrazovanje koje nudi profesionalnu orijentaciju primenjenu diplomiranom stepenu. Ova upotreba termina je najčešće istorijski rasprostranjena u NSVL-u i ACT-u. Nova terminologija je prikladna s obzirom na to da ova kategorija institucija postaje veoma slična institutima iz perioda sedamdesetih i devedesetih godina prošlog veka."
34,Emocija,"Perspektive o emocijama iz evolucione teorije započele su krajem 19. veka sa knjigom Čarlsa Darvina „Iskazivanje emocija kod čoveka i životinja“. Darvin je tvrdio da emocije zapravo imaju svrhu za ljude, kako u komunikaciji, tako i u pomaganju njihovom preživljavanju. Darvin je stoga smatrao da su emocije evoluirale putem prirodne selekcije i da zato imaju univerzalne, među-kulturne ekvivalente. Takođe je detaljno opisao prednosti doživljavanja emocija i paralelna iskustva koja se javljaju kod životinja. Ovo je utrlo put istraživanju emocija kod životinja i konačnom određivanju neuralnih osnova emocija."
35,Institut _za_ tehnologiju,"U Kambodži postoje instituti za tehnologiju/Politehnički instituti i univerziteti koji nude nastavu u različitim programima koji mogu dovesti do: sertifikata, diploma i akademskih diploma. Tehnološki/Politehnički instituti i univerziteti imaju tendenciju da budu nezavisne institucije."
36,Odeća,"Najočiglednija funkcija odeće je da poboljša udobnost nosioca, zaštićujući nosioca od spoljašnjih uticaja. U toplim klimatskim uslovima, odeća pruža zaštitu od opekotina od sunca ili oštećenja vetra, dok su u hladnim klimatskim uslovima njene termoizolaciona svojstva generalno važnija. Zaklon obično smanjuje funkcionalnu potrebu za odeću. Na primer, kaputi, šeširi, rukavice i drugi površinski slojevi obično se skidaju pri ulasku u toplu kuću, posebno ako neko tamo boravi ili spava. Slično tome, odeća ima sezonske i regionalne aspekte, tako da se tanlji materijali i manje slojeva odeće obično nose u toplim sezonama i regionima nego u hladnijim."
37,Institut _za_ tehnologiju,"U Finskoj su politehničke škole različite od akademskih univerziteta. Amatekorkeakulu je uobičajeni termin u Finskoj, kao i švedska alternativa „irkeskekula” - usmerene su na studije koje vode do stepena obrazovanja (na primer „inženjer”, inženjer; u međunarodnoj upotrebi, diploma inženjera) po različitom tipu, ali u nivou uporedivim sa akademskom diplomom osnovnih studija koju dodeljuje univerzitet. Od 2006. godine politehnike nude studije koje vode do magistarskih studija (magistar inženjerstva). Nakon 1. januara 2006.godine, neki finski Univreziteti primenjenih umetnosti su preneli engleski termin „politehnika” na termin „univerzitet primenjenih nauka” u engleskim prevodima svojih pravnih imena. Univerzitet primenjenih nauka ima mnogo sličnosti sa koledžom u Belgiji i Holandiji i sa Univerzitetom primenjenih nauka u nemačkom jeziku."
38,Tajms,"U maju 2008. godine štampanje Tajmsa premešteno je iz Vapinga u nove pogone u Broksbornu na periferiji Londona, kao i u  Mersisajdu i Glazgovu, što je omogućilo da se novine prvi put proizvode u punoj boji na svakoj stranici."
39,Geološka_istorija_Zemlje,"Period ordovicijuma počeo je velikim događajem izumiranja, nazvan kambrijum-ordovicijumski događaji izumiranja, negde oko 485.4 miliona godina ± 1.9 miliona godina. Tokom ordovicijuma južni kontinenti su bili sakupljeni u jedan kontinent nazvan Gondvana. Gondvana je započela periodu na ekvatorijalnim geografskim širinama i, kako je perioda napredovala, nošena je ka južnom polu. U ranom ordovicijumu kontinenti Laurentija, Sibir i Baltika još uvek su bili nezavisni kontinenti (od ranijeg razdvajanja od superkontinenta Panotija), ali je Baltika počela da se kreće ka Laurentiji kasnije u toj periodi, što je izazvalo da se okean Japeta smanji između njih. Takođe, Avalonija se oslobodila Gondvane i krenula na sever prema Laurentiji. Kao rezultat ovoga nastao je Rejski okean. Do kraja periode, Gondvana se približila polu i bila je u velikoj meri zaleđena."
40,Životinja,"Generalno se smatra da su životinje evoluirale iz flageliranog eukariota. Njihovi najbliži poznati živi srodnici su čoanoflagelati, flagelati sa vratom koji imaju morfologiju sličnu hoanocitima određenih sunđera. Molekularne studije stavljaju životinje u supergrupu zvanu opistokonti, koja takođe uključuje čoanoflagelate, gljivice i nekoliko malih parazitnih protista. Ime potiče od zadnjeg položaja flagela u pokretnim ćelijama, kao što je većina životinjskih spermatozoida, dok drugi eukarioti imaju tendenciju da imaju prednje flagele."
41,Geološka_istorija_Zemlje,"Severni superkontinent Laurazija počeo je da se razdvaja, kako su se Evropa, Grenland i Severna Amerika rastavljali. Na zapadnu Severne Amerike, stvaranje planina je počelo u eocenu, a ogromna jezera su se formirala u visokim ravnim basenima među uzvišenjima. U Evropi je more Tetis konačno nestalo, dok je uzdizanje Alpa izolovalo njegov poslednji ostatak, Sredozemno more, i stvorilo još jedno plitko more sa ostrvskim arhipelagom na severu. Iako se Severni Atlantik otvarao, izgleda da je ostala kopnena veza između Severne Amerike i Evrope, jer su faune ova dva regiona veoma slične. Indija je nastavila svoje putovanje daleko od Afrike i započela svoj sudar sa Azijom, stvarajući himalajsku orgenezu."
42,Politička_korupcija,"Ilustrativni primer zvanične umešanosti u organizovani kriminal može se naći iz Šangaja 1920-ih godina i 1930-ih godina, gde je Huang Jinrong bio šef policije u francuskoj koncesiji, dok je istovremeno bio šef bande i sarađivao sa Du Jušengom, lokalnim vođom bande. Ta veza je neometano održavala profit iz kockarnice bande, prostitucije i reketa za zaštitu."
43,Imunologija,"Bionauka je opšti predmet na kojem studenti osnovnih studija koji su zainteresovani za opšte blagostanje pohađaju na fakultetu. Imunologija je grana bionauke za programe osnovnih studija, ali se glavni predmet precizira kako studenti prelaze na postdiplomski program iz imunologije. Cilj imunologije je proučavanje zdravlja ljudi i životinja kroz efikasna, ali dosledna istraživanja. Najvažnija stvar kod imunologa je istraživanje jer je to najveći deo njihovog posla."
44,Klasična_muzika,"Tokom baroknog perioda, muzika za klavijature koja se svirala na čembalu i orguljama postojala je sve popularnija, a porodica gudačkih instrumenata poput violine dobila je oblik koji prepoznajemo i danas. Opera, kao scensko muzičko delo, počela je da se razlikuje od ranijih muzičkih i dramskih oblika, a vokalni oblici poput kantate i oratorijuma postali su češći. Vokalni  izvođači su počeli da dodaju ukrase melodijama. Instrumentalni ansambli su počeli da se razlikuju i standardizuju po veličini, što je dovelo do nastanka rane orkestarske forme za veće ansamble, dok se kamerna muzika pisala za manje grupe instrumenata gde svaki instrument svira svoju zasebnu deonicu. Koncert kao sredstvo za solo izvođenje uz pratnju orkestra postao je široko rasprostranjen, iako je odnos između soliste i orkestra bio relativno jednostavan."
45,Sloveni,"Slovenski autonim *Slověninъ se obično smatra (npr. Roman Jakobson) izvođenjem od lekseme slovo „reč”, prvobitno označavajući „ljude koji govore (isti jezik)”, odnosno ljude koji se razumeju, za razliku od slovenske reči koja označava „ strane ljude“ – nemci, što znači „mumlajući, mrmljajući narod“ (od slovenskog *němъ – „mumljati,biti nem“)."
46,Moderna_istorija,"U drugom delu druge revolucije, Tomas Alva Edison je razvio mnoge uređaje koji su značajno uticali na život širom sveta i često mu se pripisuje stvaranje prve industrijske istraživačke laboratorije. Godine 1882., Edison je uključio prvu veliku mrežu na svetu za napajanje električnom energijom koja je obezbeđivala 110 volti jednosmerne struje za pedeset devet kupaca u donjem Menhetnu. Takođe, pred kraj druge industrijske revolucije, Nikola Tesla je dao mnogo doprinosa u oblasti elektriciteta i magnetizma krajem 19. veka i početkom 20. veka."
